Оценка скорости сходимости	Оценка порядка сходимости
0.6839838938050808	0.9391673326376933
0.9711022888427231	0.9996378733545768
0.46154223938974015	0.6576226580942504
0.6491434941044351	0.9963681838974189
0.3765150642557032	0.3658077523286557
0.4932057010345654	0.969283419330397
0.19098950650977875	-1.707668943706114
0.2651829207557105	1.0549653880265133
0.03214728632854504	3.8365438511210654
0.05485685089948858	1.0550720660091097
0.000372618531289477	2.3349444522804546
0.0007986930694705517	1.1828129313991382

